State,Abbr,Capital,Notes
Alabama,AL,Montgomery,Birmingham is the state's largest city.
Arkansas,AR,Little Rock,
Florida,FL,Tallahassee,Jacksonville is the largest city. Miami is the largest metropolitan area.
Georgia,GA,Atlanta,State capital with the most populous metro area in the U.S.
Kentucky,KY,Frankfort,Louisville is the state's largest city.
Louisiana,LA,Baton Rouge,"New Orleans is the state's largest city and home to the Louisiana Supreme Court, although Baton Rouge is located in the state's most populous parish. It is also home to the tallest state capitol building."
Mississippi,MS,Jackson,"Only state capital that shares its status as county seat with another city (Raymond, Mississippi)."
Missouri,MO,Jefferson City,"Kansas City is the state's largest city, and Greater St. Louis is the state's largest metropolitan area."
North Carolina,NC,Raleigh,Charlotte is the state's largest city.
South Carolina,SC,Columbia,"Charleston is the state's largest city, while Greenville is the Largest Metro area."
Tennessee,TN,Nashville,
Virginia,VA,Richmond,"Virginia Beach and Norfolk are the state's largest cities, and Hampton Roads is the state's largest metro area based in the state. Richmond is one of two independent cities that serves as a state capital. Although Richmond is the county seat of Henrico County, it is not part of the county."
West Virginia,WV,Charleston,Charleston is the smallest capital city that is still the most populous city in its state. Huntington has the largest metropolitan area.
