State,Abbr,Capital,Notes
Alabama,AL,Montgomery,Birmingham is the state's largest city.
Alaska,AK,Juneau,Largest capital by municipal land area. Anchorage is the state's largest city.
Arizona,AZ,Phoenix,Most populous U.S. state capital and the only capital with more than 1 million citizens.
Arkansas,AR,Little Rock,
California,CA,Sacramento,Supreme Court of California is headquartered in San Francisco. The state's largest city is Los Angeles.
Colorado,CO,Denver,Denver was called Denver City until 1882.
Connecticut,CT,Hartford,"Bridgeport is the state's largest city, Hartford, however, is the state's largest Metro area"
Delaware,DE,Dover,Longest-serving capital in terms of statehood. Wilmington is the state's largest city.
Florida,FL,Tallahassee,Jacksonville is the largest city. Miami is the largest metropolitan area.
Georgia,GA,Atlanta,State capital with the most populous metro area in the U.S.
Hawaii,HI,Honolulu,
Idaho,ID,Boise,
Illinois,IL,Springfield,Chicago is the state's largest city.
Indiana,IN,Indianapolis,
Iowa,IA,Des Moines,
Kansas,KS,Topeka,"Wichita is the state's largest city, and Kansas City, Missouri is the largest metropolitan area."
Kentucky,KY,Frankfort,Louisville is the state's largest city.
Louisiana,LA,Baton Rouge,"New Orleans is the state's largest city and home to the Louisiana Supreme Court, although Baton Rouge is located in the state's most populous parish. It is also home to the tallest state capitol building."
Maine,ME,Augusta,Portland is the state's largest city.
Maryland,MD,Annapolis,Smallest capital by land area. Baltimore is the state's largest city and county. Capitol building is the oldest in the U.S. still in use.
Massachusetts,MA,Boston,Longest continuously serving capital in the U.S.
Michigan,MI,Lansing,Only state capital that is not also its county seat (not counting the two state capitals that are independent cities and not located in any county). Detroit is the state's largest city.
Minnesota,MN,Saint Paul,"Capital's twin city, Minneapolis, is the state's largest. The two form the core of the state's Largest Metro Area."
Mississippi,MS,Jackson,"Only state capital that shares its status as county seat with another city (Raymond, Mississippi)."
Missouri,MO,Jefferson City,"Kansas City is the state's largest city, and Greater St. Louis is the state's largest metropolitan area."
Montana,MT,Helena,Billings is the state's largest city.
Nebraska,NE,Lincoln,"Omaha is the state's largest city. It shares the largest metro area with Council Bluffs, Iowa."
Nevada,NV,Carson City,One of two independent cities that serves as a state capital. Las Vegas is the state's largest city. It shares the largest metro area with Paradise.
New Hampshire,NH,Concord,Manchester is the state's largest city.
New Jersey,NJ,Trenton,"Served as the U.S. capital for a short period in the late 18th century. Newark is the state's largest city, although Trenton is the center of the largest Metropolitan Statistical Area centered in New Jersey."
New Mexico,NM,Santa Fe,Longest serving capital in the United States. Highest elevation of any state capital. Albuquerque is the state's largest city.
New York,NY,Albany,New York City is the state's largest city.
North Carolina,NC,Raleigh,Charlotte is the state's largest city.
North Dakota,ND,Bismarck,Fargo is the state's largest city.
Ohio,OH,Columbus,"Third-largest state capital; however, the Cincinnati and Cleveland metropolitan areas are both slightly larger."
Oklahoma,OK,Oklahoma City,Shortest serving current state capital.
Oregon,OR,Salem,Portland is the state's largest city.
Pennsylvania,PA,Harrisburg,Philadelphia is the state's largest city.
Rhode Island,RI,Providence,"Also served as the state's capital from 1636–1686 and 1689–1776. It was one of five co-capitals 1776–1853, and one of two co-capitals 1853–1900."
South Carolina,SC,Columbia,"Charleston is the state's largest city, while Greenville is the Largest Metro area."
South Dakota,SD,Pierre,Sioux Falls is the state's largest city.
Tennessee,TN,Nashville,
Texas,TX,Austin,"Houston is the state's largest city and the previous capital, and Dallas–Fort Worth is the largest metro area. Austin is the largest state capital that is not also the state's largest city by population."
Utah,UT,Salt Lake City,
Vermont,VT,Montpelier,Least populous U.S. state capital. Burlington is the state's largest city.
Virginia,VA,Richmond,"Virginia Beach and Norfolk are the state's largest cities, and Hampton Roads is the state's largest metro area based in the state. Richmond is one of two independent cities that serves as a state capital. Although Richmond is the county seat of Henrico County, it is not part of the county."
Washington,WA,Olympia,Seattle is the state's largest city.
West Virginia,WV,Charleston,Charleston is the smallest capital city that is still the most populous city in its state. Huntington has the largest metropolitan area.
Wisconsin,WI,Madison,Milwaukee is the state's largest city.
Wyoming,WY,Cheyenne,
American Samoa,AS,Pago Pago,
Guam,GU,Hagåtña,
Northern Mariana Islands,MP,Saipan,
Puerto Rico,PR,San Juan,
U.S. Virgin Islands,VI,Charlotte Amalie,
